"Read name"	"Tailfindr"	"Nanopolish"	"Gene Name"
"019929f8-d423-4bcd-984f-e43a76f7b779"	246.58	195.29	"18s"
"095daaf3-69bc-4c6e-993d-8fd57d75a72f"	279.91	210.14	"18s"
"0327ae69-7262-428c-8e8f-b2488c5b8272"	349.46	251	"18s"
"00737997-7bc4-4001-adb8-0cc9517e0676"	313.5	221.18	"18s"
"07c6cb5c-fd61-4c95-8081-2e35a12bcdc8"	266.48	188.48	"18s"
"158851a1-7197-4895-a60c-2843b0217f9a"	279.47	201.55	"18s"
"0a64f4bb-d72e-4ac1-941b-af679bae5186"	414.36	296.18	"18s"
"0bad4922-443e-4b1c-8ffd-879219d1e4ea"	236.17	180.49	"18s"
"113e329d-28c4-441e-b3de-10950ced5435"	216.06	132.49	"18s"
"04dec56d-1ac5-41ff-a875-abaafda6a7b5"	280.29	187.44	"18s"
"12722459-7de1-418f-8f33-6d81bb9d0b2e"	260.15	183.87	"18s"
"10fa5281-ec6e-41b2-9cc6-d9a9a40d2226"	332.58	244.32	"18s"
"13e1b948-c2e1-448c-92b9-56925a2c521f"	281.96	204.92	"18s"
"1892113a-1b49-4beb-9077-8d2bd431c194"	337.93	197.92	"18s"
"12052d69-8488-4481-99f7-e246dbb2e358"	366.3	242.28	"18s"
"19330c01-ede4-41d1-9d39-6bc9d86b3bdb"	310.74	226.69	"18s"
"030f1063-d556-4e4e-877e-2e8f345ef019"	445.35	306.69	"18s"
"170a3808-b7cc-480a-bb46-23c330e356e1"	327.65	233.25	"18s"
"1b2ebe7e-f887-4f30-a638-8bca3c052a31"	272.62	156.6	"18s"
"044c0ba0-7fec-4eb9-b4d6-c1f873ced89d"	331.52	231.91	"18s"
"09a35368-a374-4463-988b-c1b758a75b80"	326.04	215.58	"18s"
"0b39b517-eb79-4fc8-b711-eafa55dd5333"	359.17	276.51	"18s"
"0e7a7477-d087-4b64-a592-8d7046ed8f8e"	391.5	274.37	"18s"
"17207bbb-7882-43d6-828c-8af7a49e2e3e"	352.31	232.07	"18s"
"19ba8299-8d54-4a3e-9fd1-412de660d5e7"	322.21	242.75	"18s"
"0f13584f-92af-4544-bae5-4af853d3ab74"	257.59	160.93	"18s"
"1d19b6bf-7d20-4b3c-a3c9-eae5269165fc"	349.4	249.98	"18s"
"0bc01dfd-c985-4f7c-9900-f419026ba613"	282.17	235.01	"18s"
"0774c88e-0eae-4022-a72f-46dd356da04b"	336.56	251.07	"18s"
"1d6d5f9c-4266-4542-8da6-7ed0e5683910"	279.59	190.62	"18s"
"1d6c0bd6-8710-4c01-b3e8-ac96342def6a"	301	217.28	"18s"
"1ed0331f-4fcb-4cc9-a653-30225c6be323"	329.67	225.24	"18s"
"101426f7-8e89-42bb-9df0-b36f41f7046c"	274.57	176.5	"18s"
"01115033-f804-4bfa-9e7d-16cb27803c51"	270.73	193.94	"18s"
"117e343f-9e84-401f-9fee-c12b0a34a4fd"	333.78	201.51	"18s"
