"Read name"	"Tailfindr"	"Nanopolish"	"Gene Name"
"12c6446f-80fb-4d93-9d3c-75e09cadd0d5"	289.75	115.65	"5.8s"
"0051e032-b63e-48aa-a6ec-3d0dfd4e1451"	433.5	17.07	"18s"
"1eabf673-afa9-459c-911b-d9654be01bc0"	369.8	285.37	"18s"
"06807bd8-a0c0-47e6-ba74-4021481d6d71"	409.38	289.82	"18s"
"011b0674-8963-4c8d-9e73-90d87e26f461"	448.87	340.31	"18s"
"1da59eac-0927-4e54-b28c-cefb720d7179"	498.74	355.54	"18s"
"0a80e41e-1ce0-4272-aa99-40f8019f43d3"	350.11	253.41	"18s"
"03b1d68c-144f-4371-a410-6d3615cfa769"	380	280.5	"18s"
"10cd79d6-33eb-458d-aebc-09b8755505f1"	377.5	284.95	"18s"
"01acc0d2-21eb-4f34-8a0d-49c9b3ca6973"	349.15	247.13	"18s"
"0b0842aa-d49f-42ed-b654-7dbd9e2a84cf"	351.74	241.32	"18s"
"1c769d60-045a-49c6-997b-b44d87e692ea"	394.39	297.79	"18s"
"13b5fb82-86d1-4a1a-a4c0-e931668f2698"	503	348	"18s"
"090c47cf-2806-4157-8c6b-07287a6a417a"	402.96	286.98	"18s"
"15bec461-19a3-4646-b5a5-49583d4a7446"	378.89	229.93	"18s"
"176b4592-663f-4670-8ccb-d86e239ca135"	365.24	266.67	"18s"
"190e9898-9a65-484b-9355-82daa8c23567"	382.92	247.43	"18s"
"09652646-d20c-4cbf-b358-0f0597add35b"	422.64	309.41	"18s"
"17bedfc0-10d9-4438-8856-d601a767592c"	439.41	339.4	"18s"
"18ca5817-7756-4546-b1d9-18c24d6004e4"	393.92	264.65	"18s"
"0ba38485-be52-41b4-86c0-51159b67c043"	410.84	319.04	"18s"
"06e6ea14-2766-44fa-8369-20b0172ee5bf"	306.33	228	"18s"
"0f7a9fbc-7d35-4da6-b431-75fa9b77d00e"	289.34	147.63	"18s"
"112cecaf-029f-44e1-a97c-9a1f1fc93ef6"	303.9	203.89	"18s"
"0f3ea03d-d20f-49f7-bd6f-8ed3d3faae1f"	303.04	213.63	"18s"
"0b85b531-0554-485b-8245-ce963acb1204"	339.04	236.43	"18s"
"13183b4c-327c-4364-964e-64094b2ab335"	344.85	215.73	"18s"
"0f29fcdf-9788-46e0-a57f-8b0cd6a6f8d1"	429.81	279.12	"18s"
"0849c96b-0b16-465c-92e6-f701be59a0ce"	368.23	251.54	"18s"
"11cf1cfa-f683-41cc-a377-2827ac63f87c"	328.48	242.9	"18s"
"1af63a72-9fc2-414a-be18-b22221521a72"	349.5	267.33	"18s"
"10f40d65-a6f7-4eed-b94d-90eba18bafed"	410.74	275.39	"18s"
"1461653f-79dd-4d47-ad7c-adb7e0aa2996"	251.04	170.03	"18s"
"0dfa9a9f-c720-4919-a6bf-b2d6f421a6b8"	139.91	88.41	"18s"
"1a1442ff-88ea-474f-814b-75a3234ba183"	431.96	320.95	"18s"
"1983f237-55f2-4528-987e-6397ef8e1b5f"	288.65	217.73	"18s"
"01cad5af-3eac-4357-b78e-84b04db2ace6"	359.11	278.86	"18s"
"09dd73d3-dba6-4771-b821-061b14aa24e3"	336.04	224.74	"18s"
"0d1033a6-edef-49aa-a53e-2001b61d4e24"	401.12	302.59	"18s"
"1c11a314-609b-4531-a1ee-0e5ce96ebca3"	288.42	186.62	"18s"
"137f05bb-a4a8-4bfe-bdbf-23a273cbb7fa"	503.76	364.23	"18s"
"00f5f891-50f3-4c5e-a349-0bb13548daef"	408.79	297.76	"18s"
"020c889b-4b3d-44ab-b6ac-8b4b1b3d7843"	333.38	239.81	"18s"
"088847d1-0dd7-41bc-ab76-3115846e6a0d"	363.87	252.4	"18s"
"04fa432b-54d3-4cfb-9dc0-9c20746a4d12"	277.67	200.69	"18s"
"1ba4ee80-a8e1-47d8-b94a-01462f899196"	394.65	279.45	"18s"
"15f303ab-780f-42e1-ad51-8332d3ac818a"	387.32	243.3	"18s"
"09071338-4dc8-4935-bac5-50ae9eaeb028"	341.5	200.98	"18s"
"0efe987b-cacc-45b4-b4f4-ab93b621f5fd"	307.04	203.47	"18s"
"1b8d0bb7-f78d-4fda-8b76-65099cdba382"	293.26	208.12	"18s"
"1a777c21-ca4e-405c-a09e-849df17f4a68"	262.26	171.93	"18s"
"1155a178-737d-459e-9e08-0cc91eefc741"	329.5	207.25	"18s"
"1025a526-b346-44b1-8c92-f7b9c4babfc7"	395.73	302.63	"18s"
"1ed14033-28ee-4f7c-8a88-07fb2f56ec64"	328.54	212.06	"18s"
"005765a6-5739-4bde-95b3-f9ca24d0ba7a"	443.65	336.1	"18s"
"1c341bf3-181d-48a7-82bb-fe3797c37630"	303.82	196.88	"18s"
"1e115e8c-480a-42b8-96b5-6a71b3b0e821"	385.7	256.52	"18s"
"08eec0f3-2591-4b04-80ba-9025fe938c17"	467.5	370.11	"18s"
"0ebf4d04-b8f9-4e9b-bc88-1f3ac1b933d7"	382.04	288.56	"18s"
"11a7c53e-86f6-4dd0-acf3-99464b755b0c"	283.13	172.11	"18s"
"06411cf0-867f-43eb-b8d0-c1c77215215a"	285.7	201.62	"18s"
"06d7517e-9f68-44db-be57-be1267d0f70f"	378.07	262.66	"18s"
"06fd2737-a082-4154-98a1-5f40e7e23295"	309.32	156.95	"18s"
"1a02158c-d30a-45b4-98b0-2504980ca37a"	334.21	231.64	"18s"
"11f6407b-5776-4817-8a9e-91e19e2a3c91"	338.11	240.12	"18s"
"1b4056dd-f8af-4b62-9e24-a041f35f748f"	318.26	212.43	"18s"
"0bb398af-59eb-4eb7-b067-2defef1739de"	293.07	209.06	"18s"
"169986fe-2c77-4860-8ea4-dbc48e93f1b9"	250.1	157.58	"18s"
"046017cc-5388-498c-94d4-c39b037328f4"	247.34	131.36	"18s"
"02117267-68ee-4d6e-a1cc-91d092d1ae37"	320.95	235.71	"18s"
"15041f30-78f7-4d5f-b68b-a0ead4eab5be"	338.56	223.88	"18s"
"1ec57d66-96bf-4ce1-9f4f-85b2f157b27f"	325.59	200.57	"18s"
"0352be43-ca4d-418f-b75b-56218c7828eb"	316.43	144.24	"18s"
"190a66a6-c4d4-4488-94a3-ac0da5827d39"	316.58	208.84	"18s"
"13e83dc4-8bc8-4541-b9c0-2a06168e63e2"	414.89	231.66	"18s"
"1aaa687e-147a-4f86-9d02-dd62a4ad20a3"	321.17	246.46	"18s"
"07502037-83bf-4fd8-9c8f-d51de27937cf"	359.23	237.51	"18s"
"1a8977e0-2fdc-4e38-9c83-0c5fd1f05a8f"	330.68	212.16	"18s"
"0c1243bc-0462-43d0-a689-80d2b35f7aaf"	366.96	284.59	"18s"
"01b05698-4b9b-47d5-a99d-d612294a8d40"	303.57	176.6	"18s"
"0a6d53a7-9d3b-462e-83b1-d0473dc957fc"	373.16	256.94	"18s"
"186944bc-fbe2-40f3-8a7f-cbbdf7040701"	219.56	144.93	"18s"
"1a59c07e-96b4-4190-92b2-c1f122e031a2"	336.39	178.74	"18s"
"08d07cb1-cd7e-49d5-9ac9-75b247eeaa3f"	366.36	28.58	"18s"
"0b67453e-c332-402b-bcfa-feb3974bcf6d"	330.61	224.81	"18s"
"180d33df-6d93-4ae0-8e8d-155267dc38a5"	315.29	244.42	"18s"
"0df70881-be02-4d39-8119-3150fa826fec"	429.69	292.83	"18s"
"1eb73ad0-c053-4810-88f1-0a5aa5b1b314"	334.85	258.54	"18s"
"0f9b22f1-d9a7-4292-a11c-822251f8904b"	324.28	204.57	"18s"
"09ebe707-f585-4223-a293-faffaeddf022"	404	292.84	"18s"
"167b8674-bcf5-4959-a4a0-0d906a2e8784"	340.85	227.32	"18s"
"05c0ea2a-d8c8-49d3-bf5a-92e2751ef1e7"	297.58	199.87	"18s"
"07f04252-cab3-4f2a-b5f3-6fdf4d89475a"	339.55	254.27	"18s"
"03b4bba9-afe6-4340-9953-83991e3646f0"	392.32	269.23	"18s"
"1545a98c-ef2e-4169-a8c0-3ec8ea57e9b1"	304.87	207.48	"18s"
"03df8b89-cd73-400b-9280-b97f88e8644d"	310.96	190.48	"18s"
"1c45bba8-97f1-4e37-b555-25e1c807a51d"	305.57	192.9	"18s"
"1663f623-2948-4df1-9186-a5f8110b2f0e"	379.44	277.01	"25s"
"0005be0e-3b5f-4310-8be3-8ff9a95b3380"	452.79	334.66	"25s"
"0062a7ed-ed9a-43df-bf66-0c9eaee7f57a"	350.64	263.68	"25s"
"1803edb4-387a-4703-b149-fb247b60b1f7"	361.35	247.32	"25s"
"01e6d1a7-37af-4730-94c9-e748c833cf90"	338.37	259.16	"25s"
"0033ff71-8024-4fec-8031-21707cb315d5"	317.27	208.95	"25s"
